:ID,company_name,code,:LABEL
272,贵州茅台,600519.SH,company
273,新日股份,603787.SH,company
274,海欣股份,600851.SH,company
275,皖江物流,600575.SH,company
276,会畅通讯,300578.SZ,company
277,启迪古汉,000590.SZ,company
278,城发环境,000885.SZ,company
279,尖峰集团,600668.SH,company
280,生物股份,600201.SH,company
281,朗科智能,300543.SZ,company
282,上海环境集团,601200.SH,company
283,美吉姆,002621.SZ,company
284,浙江新能,600032.SH,company
285,同兴达,002845.SZ,company
286,赣能股份,000899.SZ,company
287,广州港,601228.SH,company
288,伟星新材,002372.SZ,company
289,时代电气,688187.SH,company
290,浙数文化,600633.SH,company
291,东方集团,600811.SH,company
292,科力尔,002892.SZ,company
293,中亚股份,300512.SZ,company
294,东尼电子,603595.SH,company
295,天微电子,688511.SH,company
296,天风证券,601162.SH,company
297,迪瑞医疗,300396.SZ,company
298,量子生物,300149.SZ,company
299,美盈森,002303.SZ,company
300,天味食品,603317.SH,company
301,鹏欣资源,600490.SH,company
302,方大炭素,600516.SH,company
303,申菱环境,301018.SZ,company
304,宁沪高速,600377.SH,company
305,广大特材,688186.SH,company
306,英可瑞,300713.SZ,company
307,远兴能源,000683.SZ,company
308,科大讯飞,002230.SZ,company
309,*ST华业,600240.SH,company
310,万里股份,600847.SH,company
311,金种子酒,600199.SH,company
312,亚光科技,300123.SZ,company
313,德恩精工,300780.SZ,company
314,今天国际,300532.SZ,company
315,国轩高科,002074.SZ,company
316,鸿博股份,002229.SZ,company
317,合康新能,300048.SZ,company
318,中富电路,300814.SZ,company
319,同方股份,600100.SH,company
320,引力传媒,603598.SH,company
321,京能置业,600791.SH,company
322,晓程科技,300139.SZ,company
323,南京证券,601990.SH,company
324,福晶科技,002222.SZ,company
325,西部资源,600139.SH,company
326,粤水电,002060.SZ,company
327,久之洋,300516.SZ,company
328,立昂技术,300603.SZ,company
329,航天机电,600151.SH,company
330,嘉美包装,002969.SZ,company
331,中国交建,601800.SH,company
332,保龄宝,002286.SZ,company
333,能辉科技,301046.SZ,company
334,君亭酒店,301073.SZ,company
335,韦尔股份,603501.SH,company
336,申华控股,600653.SH,company
337,极米科技,688696.SH,company
338,新雷能,300593.SZ,company
339,三七互娱,002555.SZ,company
340,新朋股份,002328.SZ,company
341,国盛金控,002670.SZ,company
342,金龙羽,002882.SZ,company
343,日辰股份,603755.SH,company
344,新华保险,601336.SH,company
345,云南白药,000538.SZ,company
346,安徽水利,600502.SH,company
347,天邦股份,002124.SZ,company
348,远信工业,301053.SZ,company
349,*ST中安,600654.SH,company
