:START_ID,:END_ID,:TYPE,time
2702,258,cooperate,2022/1/26 16:23
2702,739,cooperate,2020/5/6 21:07
2702,3386,cooperate,2022/4/27 21:03
3021,2150,cooperate,2020/10/26 11:30
568,3498,cooperate,2021/3/19 14:09
568,677,cooperate,2020/11/10 10:01
3666,3416,cooperate,2019/9/12 15:16
3666,2082,cooperate,2021/8/9 11:07
3666,3051,cooperate,2021/7/29 9:38
3666,2735,cooperate,2021/5/21 18:05
3666,1726,cooperate,2021/1/13 10:04
3666,743,cooperate,2020/12/14 13:13
3666,1607,cooperate,2020/9/28 16:56
3666,3848,cooperate,2020/9/16 8:00
3666,1853,cooperate,2019/12/23 20:04
3666,2346,cooperate,2022/1/17 22:47
3666,1239,cooperate,2020/7/27 20:53
3666,3854,cooperate,2021/4/22 12:35
3666,2074,cooperate,2022/5/30 15:37
3206,3083,cooperate,2020/5/11 18:51
3206,3901,cooperate,2020/12/25 18:32
2088,2274,cooperate,2021/7/24 22:45
2088,1222,cooperate,2021/6/11 10:58
2088,2073,cooperate,2021/9/28 16:21
707,217,cooperate,2019/9/11 15:17
707,783,cooperate,2019/8/26 17:25
707,2082,cooperate,2019/8/22 10:57
707,2817,cooperate,2019/4/25 13:44
707,3136,cooperate,2020/9/16 18:48
707,2840,cooperate,2020/8/8 11:39
707,2298,cooperate,2020/5/19 16:57
707,2682,cooperate,2020/3/12 8:16
707,3851,cooperate,2021/6/27 13:35
707,2991,cooperate,2020/12/29 21:33
707,951,cooperate,2022/8/29 13:59
707,2877,cooperate,2022/7/8 19:15
707,2724,cooperate,2021/12/25 15:24
707,561,cooperate,2021/11/12 18:54
707,906,cooperate,2019/8/19 16:44
707,1909,cooperate,2019/6/27 10:55
707,2055,cooperate,2019/5/29 9:38
707,692,cooperate,2019/4/29 11:07
707,3568,cooperate,2018/12/4 18:35
707,2038,cooperate,2020/2/22 13:32
707,3427,cooperate,2019/12/25 11:17
707,2360,cooperate,2019/12/13 15:09
707,1784,cooperate,2019/11/26 12:14
707,910,cooperate,2021/5/25 22:21
707,272,cooperate,2022/5/26 18:42
707,1239,cooperate,2021/10/20 15:55
707,3163,cooperate,2019/4/25 17:32
707,1427,cooperate,2018/11/3 17:16
707,1283,cooperate,2020/4/10 10:23
707,3396,cooperate,2019/12/26 16:43
707,2098,cooperate,2022/9/8 17:23
217,707,cooperate,2019/9/10 8:42
217,783,cooperate,2019/7/26 19:27
217,2393,cooperate,2019/6/4 13:44
217,2082,cooperate,2020/7/16 8:31
217,3548,cooperate,2020/7/3 22:31
217,561,cooperate,2021/9/17 10:41
217,3506,cooperate,2021/8/23 16:55
217,1807,cooperate,2021/6/23 18:23
217,1539,cooperate,2021/5/8 17:10
217,308,cooperate,2021/4/15 14:58
217,3436,cooperate,2021/2/23 11:48
217,2817,cooperate,2020/12/17 10:34
217,2066,cooperate,2020/11/12 19:21
217,2444,cooperate,2020/10/22 11:24
217,2308,cooperate,2020/9/22 10:59
217,1427,cooperate,2022/7/26 14:34
217,3427,cooperate,2021/12/3 17:14
217,3116,cooperate,2021/11/16 9:47
217,1087,cooperate,2019/9/11 9:46
217,1752,cooperate,2019/4/27 13:58
217,1909,cooperate,2019/4/4 10:04
217,2348,cooperate,2019/10/18 9:14
217,1257,cooperate,2021/5/14 15:48
217,3854,cooperate,2021/3/25 17:36
217,548,cooperate,2022/6/25 8:42
217,3718,cooperate,2018/11/7 15:58
217,3838,cooperate,2020/9/15 19:02
217,1824,cooperate,2019/12/13 11:56
217,15,cooperate,2019/10/30 21:55
217,1480,cooperate,2021/8/11 18:40
217,1902,cooperate,2021/1/15 9:48
217,2840,cooperate,2020/11/20 15:55
217,2927,cooperate,2020/10/21 18:59
217,3772,cooperate,2022/9/15 21:29
217,854,cooperate,2022/4/29 10:27
649,3030,cooperate,2021/9/17 22:04
649,2082,cooperate,2022/9/7 19:56
10,626,cooperate,2022/8/22 14:17
10,49,cooperate,2022/5/12 1:30
1178,743,cooperate,2020/8/18 12:46
