:START_ID,:END_ID,:TYPE
1335,70,supply
2619,1510,supply
772,2384,supply
2351,1558,supply
2515,1784,supply
1367,743,supply
3445,1466,supply
2057,2524,supply
1496,3571,supply
1719,2165,supply
35,677,supply
2912,1239,supply
8,2525,supply
1508,3626,supply
2165,3116,supply
318,2351,supply
3680,3116,supply
3680,2502,supply
2122,3548,supply
3339,809,supply
3339,404,supply
3239,2957,supply
2102,3333,supply
479,1809,supply
1599,2410,supply
1599,2163,supply
964,2461,supply
3892,3058,supply
3186,1793,supply
2159,3825,supply
1532,630,supply
2111,2502,supply
2977,3847,supply
2243,233,supply
552,2185,supply
1157,1749,supply
3242,1600,supply
2727,3626,supply
3712,3941,supply
1050,1784,supply
3756,743,supply
1671,594,supply
425,1600,supply
2296,1600,supply
2899,3014,supply
747,3941,supply
2766,1120,supply
2355,1600,supply
363,781,supply
105,3400,supply
1596,1600,supply
2434,2668,supply
1272,528,supply
2916,3479,supply
219,217,supply
3887,3948,supply
1914,3404,supply
2811,2185,supply
1567,781,supply
3704,2300,supply
1882,673,supply
290,1184,supply
157,3738,supply
3138,2104,supply
188,1784,supply
2103,2914,supply
2103,1600,supply
356,707,supply
1205,3941,supply
2739,2781,supply
1477,2108,supply
2639,2914,supply
2639,1480,supply
2419,997,supply
652,2981,supply
2978,2997,supply
2978,756,supply
1523,3568,supply
3511,3050,supply
1598,3735,supply
997,3473,supply
3972,2265,supply
1664,2909,supply
3774,3944,supply
2399,3941,supply
2737,2393,supply
2326,781,supply
2859,929,supply
2812,753,supply
1775,2471,supply
1822,15,supply
2713,3568,supply
656,561,supply
3787,1866,supply
2517,441,supply
1889,1315,supply
2248,81,supply
1767,724,supply
3386,2702,supply
946,3285,supply
2887,3479,supply
3663,746,supply
432,215,supply
1600,315,supply
743,2957,supply
3456,1784,supply
2159,2538,supply
178,454,supply
2030,783,supply
2777,561,supply
3443,2925,supply
3689,936,supply
2231,1784,supply
3219,315,supply
2033,3304,supply
1608,707,supply
3500,2467,supply
3538,694,supply
2082,707,supply
2011,743,supply
738,784,supply
3438,528,supply
2108,594,supply
3503,738,supply
2810,2346,supply
2840,817,supply
3239,743,supply
2283,743,supply
2979,738,supply
1403,1600,supply
1403,3167,supply
2731,3568,supply
419,982,supply
3801,1600,supply
1784,2231,supply
1898,2444,supply
2742,217,supply
1290,255,supply
3831,1607,supply
2924,743,supply
406,1220,supply
769,2718,supply
243,280,supply
1086,1717,supply
2088,2073,supply
326,2781,supply
589,1600,supply
1944,738,supply
2581,2763,supply
2525,430,supply
1399,707,supply
3053,970,supply
1664,1600,supply
677,1614,supply
3116,3259,supply
2045,561,supply
1403,1600,supply
3812,1600,supply
1809,783,supply
589,1600,supply
3737,3626,supply
2732,272,supply
2632,1600,supply
3276,1134,supply
3553,1600,supply
1926,1607,supply
1130,3127,supply
2170,1600,supply
1737,2840,supply
2111,1600,supply
1250,3103,supply
2336,1600,supply
3726,2914,supply
1784,1724,supply
2665,561,supply
2639,1134,supply
3137,2696,supply
2020,1559,supply
2020,217,supply
2020,396,supply
178,454,supply
1419,2104,supply
3285,1600,supply
3285,1681,supply
1606,3863,supply
781,692,supply
2104,3396,supply
2082,354,supply
2281,3516,supply
2786,3427,supply
1362,743,supply
3516,743,supply
1865,796,supply
3568,3614,supply
471,1600,supply
471,743,supply
1147,48,supply
1600,416,supply
1600,3116,supply
743,1722,supply
743,1893,supply
743,2696,supply
964,1600,supply
3227,1600,supply
3227,743,supply
1513,1600,supply
3290,1600,supply
2957,1600,supply
2957,743,supply
3859,1600,supply
3654,743,supply
1599,1600,supply
2400,743,supply
3232,1600,supply
2909,1600,supply
2909,743,supply
589,1600,supply
589,3548,supply
511,1600,supply
3655,1600,supply
314,1600,supply
314,743,supply
906,3791,supply
3375,2300,supply
308,3468,supply
3330,559,supply
1441,1362,supply
3166,3175,supply
385,1084,supply
704,743,supply
919,743,supply
2696,743,supply
790,1672,supply
623,790,supply
3826,790,supply
560,1286,supply
3155,649,supply
1843,3414,supply
3468,1853,supply
526,3883,supply
12,506,supply
2339,743,supply
3968,743,supply
2298,1784,supply
3658,1784,supply
3640,3052,supply
2656,2433,supply
870,743,supply
2617,2734,supply
1139,2734,supply
1286,560,supply
3855,743,supply
1673,743,supply
2076,743,supply
1722,743,supply
864,743,supply
718,743,supply
224,743,supply
1858,743,supply
1696,743,supply
1893,743,supply
2311,743,supply
73,743,supply
2818,743,supply
3536,743,supply
2649,2914,supply
3622,2914,supply
1457,26,supply
2155,179,supply
179,2155,supply
179,2055,supply
147,3666,supply
1897,781,supply
2920,3645,supply
2177,560,supply
3118,2402,supply
2784,2391,supply
2237,345,supply
3831,783,supply
1596,1220,supply
1506,3941,supply
2075,1784,supply
1234,2840,supply
3522,566,supply
474,2082,supply
3425,2082,supply
2831,2082,supply
1394,2082,supply
3568,2026,supply
417,530,supply
2774,540,supply
14,1784,supply
2639,3014,supply
2639,2914,supply
2639,1134,supply
742,3014,supply
1600,1220,supply
221,3941,supply
1809,217,supply
2096,2260,supply
3564,2817,supply
867,1742,supply
2784,2177,supply
743,1600,supply
743,3626,supply
2844,2391,supply
3451,3399,supply
3764,3626,supply
1547,3505,supply
3645,798,supply
2025,1548,supply
1220,1600,supply
982,3626,supply
537,561,supply
3626,1600,supply
3390,561,supply
2828,3941,supply
1671,594,supply
217,611,supply
217,1967,supply
589,1547,supply
3053,970,supply
2270,308,supply
1936,743,supply
1599,1600,supply
522,2437,supply
2346,2842,supply
1319,561,supply
3393,1600,supply
679,707,supply
1568,3901,supply
1568,217,supply
3285,3544,supply
1678,2502,supply
2848,1600,supply
502,272,supply
3503,2082,supply
2384,772,supply
2019,3542,supply
785,1600,supply
2508,2914,supply
3565,743,supply
631,217,supply
2409,3417,supply
3893,1548,supply
1956,561,supply
1456,506,supply
1752,3116,supply
1752,1220,supply
625,561,supply
2356,707,supply
3304,406,supply
2086,3904,supply
1807,796,supply
1776,530,supply
2071,3304,supply
198,97,supply
3251,3116,supply
454,178,supply
2217,217,supply
2325,2073,supply
3879,743,supply
3439,1600,supply
406,3304,supply
1608,217,supply
3106,2840,supply
1367,3096,supply
810,1220,supply
1391,743,supply
642,1278,supply
360,3219,supply
2787,3304,supply
2792,1600,supply
979,1600,supply
3687,561,supply
2508,3014,supply
3463,743,supply
1043,783,supply
1746,22,supply
1739,3458,supply
3564,743,supply
22,1746,supply
1608,1541,supply
175,560,supply
2696,3451,supply
1378,2185,supply
3893,781,supply
3893,1548,supply
790,918,supply
104,630,supply
917,506,supply
3456,1784,supply
3801,1600,supply
2409,3417,supply
1600,743,supply
532,2224,supply
1482,1600,supply
2019,118,supply
217,631,supply
2231,1784,supply
2666,1600,supply
2020,2112,supply
2248,81,supply
973,1590,supply
3952,2045,supply
1080,1600,supply
2075,1600,supply
2002,1179,supply
1163,2573,supply
471,743,supply
158,3889,supply
949,561,supply
1638,3626,supply
2542,3609,supply
2356,1350,supply
3176,1406,supply
1055,2391,supply
3463,1600,supply
3863,166,supply
